id;direccion;latitud;longitud;nombre
616; ;-28625199000;-65128036700;Frias - Terminal (Santiago del Estero - ARG)
639; ;-37136885000;-63665857300;Macachin - Terminal (La Pampa - ARG)
642; ; ;;Esquina - Terminal (Corrientes - ARG)
644; ; ;;Goya - Terminal (Corrientes - ARG)
646; ; ;;Bella Vista - Terminal (Corrientes - ARG)
647; ;-28859104524;-58734502770;9 de Julio - Rotonda (Corrientes - ARG)
648; ;-31453258900;-60931308800;Esperanza - Terminal (Santa Fe - ARG)
657; ;-36814369700;-73021804700;Concepci\xc3\xb3n Chile (Novena Region - CHL)
660; ;-38931330200;-69194662600;Plaza Huincul - Museo (Neuquen - ARG)
670; ; ;;Las Coloradas - Agencia (Neuquen - ARG)
674; ;-40086789200;-71135766500;Chapelco - Aeropuerto (Neuquen - ARG)
678; ;-40795741800;-71592246300;Bahia Manzano (Neuquen - ARG)
723; ;-38952542500;-68140221800;Neuquen - Aeropuerto (Neuquen - ARG) (Neuquen - ARG)
725; ;-37381419900;-70265443300;Chos Malal - Terminal (Neuquen - ARG)
726; ;-38879654100;-71186165200;Villa Pehuenia - Agencia (Neuquen - ARG)
727; ;-39239644900;-70915283600;Alumine - Terminal (Neuquen - ARG)
728; ;-38826262500;-68119948400;Centenario (Neuquen - ARG)
730; ;-37721441800;-67763972300;Colonia 25 de Mayo - Rotonda (La Pampa - ARG)
737; ;-34641330000;-58568665000;Ramos Mejia - Av. Rivadavia 14290 (Buenos Aires - ARG)
762;Juan+B.+Alberdi+s%2Fn%2C+Guaymall%C3%A9n%2C+Mendoza ;-32894320000;-68830510000;Mendoza - Terminal (Mendoza - ARG) (Mendoza - ARG)
781; ;-35043340200;-64244796000;Realico - Terminal (La Pampa - ARG)
784; ;-31089757500;-64486983400;La Falda - Terminal (Cordoba - ARG)
785; ;-31419192000;-64493281200;Villa Carlos Paz (Cordoba - ARG)
786; ;-31243842800;-64467164600;Cosquin - Terminal (Cordoba - ARG)
787; ;-46797408100;-67947757200;Pico Truncado (Santa Cruz - ARG)
789; ;-46714797100;-68223381000;Koluel Kayke (Santa Cruz - ARG)
790; ;-46590823900;-68567776700;Piedra Clavada (Santa Cruz - ARG)
791; ;-46538303400;-68935378800;Las Heras (Santa Cruz - ARG)
800; ;-24794916200;-65398693100;Salta (TG) (Salta - ARG)
801;Alem+502%2C+San+Mart%C3%ADn%2C+Mendoza ;-33085940000;-68464550000;San Martin - Terminal (Mendoza - ARG) (Mendoza - ARG)
804;Avenida+del+Fundador+S%2FN ;-33294996595;-66296864066;San Luis - Terminal (San Luis - ARG) (San Luis - ARG)
